Title,District,Address,Beds,Baths,House size,Land size,Price
House for Rent Ampara,Ampara,"Jaya Road,Vinayagapuram,Ampara",2,1,"1,500.0 sqft",30.0 perches,"Rs 19,500"
House for Rent Kalutara,Kalutara,"Kalutara City, Kalutara",4,1,"2,300.0 sqft",25.0 perches,"Rs 38,000"
House Rent Jaffna,Jaffna,"Jaffna City, Jaffna",3,1,"2,400.0 sqft",24.0 perches,"Rs 33,000"
Two Houses For Rent Kuliyapitiya,Kurunegala,"Jayanthi Mawatha, Kuliyapitiya",3,1,"2,000.0 sqft",20.0 perches,"Rs 32,000"
House Rent in Matara,Matara,"Walgama South, Matara",4,2,"2,500.0 sqft",25.0 perches,"Rs 42,000"
House for Rent in Matale,Matale,"Matale City, Matale",3,2,"2,300.0 sqft",24.0 perches,"Rs 36,000"
House for Rent,Trincomalee,"Trincomalee City, Trincomalee",2,2,1300.0 sqft,13.0 perches,"Rs 30,000"
House for Rent in Polonnaruwa,Polonnaruwa,"Sewanapitiya, polonnaruwa",4,1,"2,300.0 sqft",25.0 perches,"Rs 36,000"
House for Rent in Kuruwita,Ratnapura,"652/3,Kurruwita,Rathnapura",2,1,"1,200.0 sqft",8. 0 perches,"Rs 16,000"
House for Rent in Polonnaruwa,Polonnaruwa,"Polonnaruwa City, Polonnaruwa",5,2,"2,700.0 sqft",30.0 perches,"Rs 45,000"
House for Rent in Galle,Galle,"Galle City, Galle",2,2,"1,200.0 sqft",11.0 perches,"Rs 27,000"
House for Rent in Galle,Galle,"Galle City, Galle",2,1,600.0 sqft,7.0 perches,"Rs 20,000"
House for Rent Kalutara,Kalutara,"Kalutara City, Kalutara",3,1,"1,600.0 sqft",20.0 perches,"Rs 31,000"
House for Rent in Kahawaththa,Ratnapura,"Main Street, Kahawatta, Ratnapura",4,1,"2,500.0 sqft",10.0 perches,"Rs 37,000"
House Rent Colombo,Colombo,Nugegoda,2,1,900.0 sqft,5.0 perches,"Rs 30,000"
House for Rent in Polonnaruwa,Polonnaruwa,"Polonnaruwa City, Polonnaruwa",4,2,"2,500.0 sqft",26.0 perches,"Rs 38,000"
03 Bed Room House for Rent at Eheliyagoda,Ratnapura,"Bulugahapitiya , Eheliyagoda",4,1,"1,800.0 sqft",20.0 perches,"Rs 38,000"
House Rent in Matara,Matara,"Matara ,Malmboda",2,1,"1,200.0 sqft",12.0 perches,"Rs 23,000"
House for rent Kuliyapitiya,Kurunegala,"Madakumburumulla,kurunegala",2,1,"1,500.0 sqft",17.0 perches,"Rs 19,500"
House for Rent Puttalam,Puttalam,"Puttalam City, Puttalam",2,1,700.0 sqft,9.0 perches,"Rs 16,000"
House for Rent in Matale,Matale,"Matale City, Matale",3,1,"2,000.0 sqft",20.0 perches,"Rs 28,000"
House For Rent In Wariyapola,Kurunegala,"Wariyapola,Kurunegala",3,2,"6,000.0 sqft",40.0 perches,"Rs 38,000."
House For Rent In Nuwara Eliya,Nuwara Eliya,"Hawa Eliya, Nuwara Eliya",2,1,600.0 sqft,8.0 perches,"Rs 17,000"
House Rent Jaffna,Jaffna,"Jaffna City, Jaffna",2,1,600.0 sqft,8.0 perches,"Rs 15,000"
House For Rent In Nuwara Eliya,Nuwara Eliya,Nuwara Eliya City,2,2,"1,300.0 sqft",13.0 perches,"Rs 30,000"
House for Rent Kalutara,Kalutara,"Kalutara City, Kalutara",2,1,"1,400.0 sqft",14.0 perches,"Rs 25,000"
House for Rent,Polonnaruwa,"Polonnaruwa City, Polonnaruwa",3,1,"2,000.0 sqft",20.0 perches,"Rs 30,000"
House for Rent in Badulla,Badulla,"Badulla City, Badulla",2,1,700.0 sqft,10.0 perches,"Rs 20,000"
House for Rent Kandy,Kandy,"Kandy City, Kandy",3,1,"1,600.0 sqft",20.0 perches,"Rs 31,000"
House for Rent Kalutara,Kalutara,"Kalutara City, Kalutara",3,2,"2,300.0 sqft",25.0 perches,"Rs 38,000"
House for Rent Kandy,Kandy,"Katugastota, Kandy",3,1,"2,000.0 sqft",24.0 perches,"Rs 35,000"
